City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
2,Poum,NC,80.15,clear sky,-20.2333,164.0167,Gîte kajeon
6,Areia Branca,BR,81.03,scattered clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
13,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
15,Vao,NC,78.37,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
16,Carnarvon,AU,87.93,clear sky,-24.8667,113.6333,Hospitality Carnarvon
19,Sola,VU,81.57,overcast clouds,-13.8833,167.55,Leumerus Bungalows
22,Labuhan,ID,80.65,broken clouds,-6.8844,112.2051,DoubleFAG
23,Dingle,PH,80.74,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
24,Itarema,BR,79.18,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
26,Arraial Do Cabo,BR,75.25,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
27,San Rafael,AR,77.4,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
29,Kapaa,US,81.48,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
31,Mount Isa,AU,82.17,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
32,Faanui,PF,81.21,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
34,Butaritari,KI,81.79,light rain,3.0707,172.7902,Isles Sunset Lodge
35,Meulaboh,ID,77.05,broken clouds,4.1363,96.1285,Kost Pria
37,Hilo,US,78.53,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
38,Amahai,ID,84.99,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
40,Tarakan,ID,81.9,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
45,Kahului,US,83.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
50,Rikitea,PF,78.6,light rain,-23.1203,-134.9692,People ThankYou
57,Isangel,VU,83.53,overcast clouds,-19.55,169.2667,Tanna Lodge
58,Mahebourg,MU,78.26,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
