City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Upernavik,GL,2022-01-30 20:50:34,72.7868,-56.1549,-2.63,70,100,9.42
1,Batagay,RU,2022-01-30 20:45:20,67.6333,134.6333,-35.27,99,50,1.77
2,Husavik,IS,2022-01-30 20:49:33,66.0449,-17.3389,22.91,63,47,30.13
3,Panjab,AF,2022-01-30 20:54:31,34.388,67.0233,13.5,99,97,0.81
4,Warri,NG,2022-01-30 20:54:31,5.5167,5.75,76.1,62,32,3.56
5,Hobart,AU,2022-01-30 20:48:39,-42.8794,147.3294,62.11,90,75,1.01
6,Tasiilaq,GL,2022-01-30 20:48:31,65.6145,-37.6368,8.76,45,95,17.18
7,Albany,US,2022-01-30 20:52:31,42.6001,-73.9662,21.81,37,13,1.99
8,Airai,TL,2022-01-30 20:49:47,-8.9266,125.4092,60.76,91,78,3.96
9,Busselton,AU,2022-01-30 20:49:57,-33.65,115.3333,63.09,65,87,17.78
10,Avarua,CK,2022-01-30 20:45:09,-21.2078,-159.775,73.45,88,75,5.75
11,Kapaa,US,2022-01-30 20:48:16,22.0752,-159.319,78.12,66,20,3.0
12,Aleksandrovsk-Sakhalinskiy,RU,2022-01-30 20:54:33,50.8975,142.1561,-5.73,98,94,1.72
13,Thompson,CA,2022-01-30 20:50:36,55.7435,-97.8558,6.96,72,20,2.3
14,Rikitea,PF,2022-01-30 20:48:35,-23.1203,-134.9692,76.33,69,100,4.56
15,Barrow,US,2022-01-30 20:48:46,71.2906,-156.7887,-9.38,70,100,8.05
16,Hilo,US,2022-01-30 20:51:43,19.7297,-155.09,78.53,54,20,5.75
17,Hermanus,ZA,2022-01-30 20:54:34,-34.4187,19.2345,69.8,85,100,13.65
18,Touros,BR,2022-01-30 20:51:30,-5.1989,-35.4608,85.1,74,21,12.84
19,Punta Arenas,CL,2022-01-30 20:48:47,-53.15,-70.9167,53.71,40,40,28.77
20,Arraial Do Cabo,BR,2022-01-30 20:48:20,-22.9661,-42.0278,82.36,74,40,4.61
21,Cabo San Lucas,MX,2022-01-30 20:46:20,22.8909,-109.9124,79.61,64,85,6.46
22,Eirunepe,BR,2022-01-30 20:54:35,-6.6603,-69.8736,88.95,50,98,4.9
23,Takoradi,GH,2022-01-30 20:54:35,4.8845,-1.7554,79.84,81,100,6.44
24,Jacqueville,CI,2022-01-30 20:54:36,5.2052,-4.4146,82.31,84,100,11.1
25,Victoria,HK,2022-01-30 20:42:57,22.2855,114.1577,59.32,76,82,3.0
26,Kajaani,FI,2022-01-30 20:54:36,64.2273,27.7285,19.45,86,100,10.36
27,Isangel,VU,2022-01-30 20:46:27,-19.55,169.2667,80.71,89,100,9.22
28,Izhmorskiy,RU,2022-01-30 20:54:37,56.194,86.6414,-3.46,98,41,4.47
29,Port Hardy,CA,2022-01-30 20:51:27,50.6996,-127.4199,41.76,93,100,6.91
30,Kidal,ML,2022-01-30 20:54:37,18.4411,1.4078,71.42,13,77,11.54
