City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Olga,RU,2022-02-03 01:16:39,43.7444,135.2892,13.87,49,3,14.23,clear sky
1,Upington,ZA,2022-02-03 01:16:39,-28.4478,21.2561,71.98,94,100,5.75,overcast clouds
2,Poum,NC,2022-02-03 01:16:40,-20.2333,164.0167,80.15,73,0,0.45,clear sky
3,Cabra,ES,2022-02-03 01:16:40,37.4725,-4.4421,52.18,46,100,4.18,overcast clouds
4,Upernavik,GL,2022-02-03 01:13:09,72.7868,-56.1549,-8.97,67,100,8.77,overcast clouds
5,Ypsonas,CY,2022-02-03 01:16:41,34.6884,32.9574,57.27,87,20,2.3,few clouds
6,Areia Branca,BR,2022-02-03 01:16:41,-4.9561,-37.1369,81.03,76,41,15.01,scattered clouds
7,New Norfolk,AU,2022-02-03 01:16:42,-42.7826,147.0587,60.3,91,99,4.43,light rain
8,General Cepeda,MX,2022-02-03 01:16:42,25.3833,-101.45,71.01,22,6,2.33,clear sky
9,Punta Arenas,CL,2022-02-03 01:15:32,-53.15,-70.9167,48.31,76,75,6.91,broken clouds
10,Jamestown,US,2022-02-03 01:07:43,42.097,-79.2353,40.59,60,100,5.99,light rain
11,Forest,US,2022-02-03 01:16:43,37.3638,-79.2897,45.61,69,75,0.0,broken clouds
12,Usinsk,RU,2022-02-03 01:16:43,65.9939,57.5281,14.43,96,100,9.31,overcast clouds
13,Avarua,CK,2022-02-03 01:06:44,-21.2078,-159.775,84.25,79,75,18.41,broken clouds
14,Mataura,NZ,2022-02-03 01:16:43,-46.1927,168.8643,59.49,91,100,3.62,overcast clouds
15,Vao,NC,2022-02-03 01:16:44,-22.6667,167.4833,78.37,71,100,9.89,overcast clouds
16,Carnarvon,AU,2022-02-03 01:08:26,-24.8667,113.6333,87.93,48,6,5.06,clear sky
17,Albany,US,2022-02-03 01:06:39,42.6001,-73.9662,42.48,77,100,3.38,overcast clouds
18,Mahanoro,MG,2022-02-03 01:16:45,-19.9,48.8,73.72,85,100,13.78,overcast clouds
19,Sola,VU,2022-02-03 01:16:45,-13.8833,167.55,81.57,75,100,9.28,overcast clouds
20,Ushuaia,AR,2022-02-03 01:16:45,-54.8,-68.3,42.46,61,75,23.02,broken clouds
21,Atar,MR,2022-02-03 01:16:46,20.5169,-13.0499,71.51,21,0,7.52,clear sky
22,Labuhan,ID,2022-02-03 01:10:30,-6.8844,112.2051,80.65,79,81,1.03,broken clouds
23,Dingle,PH,2022-02-03 01:16:46,10.9995,122.6711,80.74,78,70,13.09,broken clouds
24,Itarema,BR,2022-02-03 01:14:26,-2.9248,-39.9167,79.18,79,100,10.07,overcast clouds
25,Hamilton,US,2022-02-03 01:16:47,39.1834,-84.5333,45.79,96,100,1.99,light rain
26,Arraial Do Cabo,BR,2022-02-03 01:11:58,-22.9661,-42.0278,75.25,88,100,4.25,overcast clouds
27,San Rafael,AR,2022-02-03 01:12:36,-34.6177,-68.3301,77.4,43,100,4.79,overcast clouds
28,San Quintin,MX,2022-02-03 01:16:47,30.4833,-115.95,59.23,61,0,8.88,clear sky
29,Kapaa,US,2022-02-03 01:15:03,22.0752,-159.319,81.48,65,0,1.99,clear sky
30,Arlit,NE,2022-02-03 01:16:48,18.7369,7.3853,60.37,16,0,12.33,clear sky
31,Mount Isa,AU,2022-02-03 01:16:48,-20.7333,139.5,82.17,74,75,14.97,broken clouds
32,Faanui,PF,2022-02-03 01:09:09,-16.4833,-151.75,81.21,75,14,20.09,few clouds
33,Marseille,FR,2022-02-03 01:16:49,43.3333,5.5,47.91,70,2,1.99,clear sky
34,Butaritari,KI,2022-02-03 01:16:49,3.0707,172.7902,81.79,78,100,16.22,light rain
35,Meulaboh,ID,2022-02-03 01:09:19,4.1363,96.1285,77.05,83,61,2.95,broken clouds
36,Yagodnoye,RU,2022-02-03 01:16:50,62.55,149.6667,-7.85,96,100,4.14,overcast clouds
37,Hilo,US,2022-02-03 01:09:17,19.7297,-155.09,78.53,74,75,8.05,broken clouds
38,Amahai,ID,2022-02-03 01:15:46,-3.3333,128.9167,84.99,65,91,2.28,overcast clouds
39,Port Alfred,ZA,2022-02-03 01:03:00,-33.5906,26.891,73.54,92,100,8.9,overcast clouds
